"gruppo","titolo","titoloBreve","inizio","fine"
"http://dati.senato.it/commissione/0-82","Commissione di inchiesta sul fenomeno degli infortuni sul lavoro con particolare riguardo alle cosiddette ""morti bianche""","Commissione di inchiesta sugli infortuni sul lavoro",2008-06-24,2013-03-14
"http://dati.senato.it/commissione/0-82","Commissione parlamentare di inchiesta sul fenomeno degli infortuni sul lavoro e delle malattie professionali, con particolare riguardo al sistema della tutela della salute e della sicurezza nei luoghi di lavoro","Commissione di inchiesta sugli infortuni sul lavoro",2013-12-04,2018-03-22
"http://dati.senato.it/commissione/0-84","Commissione parlamentare di inchiesta sull'efficacia e l'efficienza del Servizio sanitario nazionale","Commissione di inchiesta sul Servizio sanitario nazionale",2006-10-26,2008-04-28
"http://dati.senato.it/commissione/0-84","Commissione parlamentare di inchiesta sull'efficacia e l'efficienza del Servizio sanitario nazionale","Commissione di inchiesta sul Servizio sanitario nazionale",2008-07-30,2013-03-14
"http://dati.senato.it/commissione/0-85","Commissione di indagine richiesta dal senatore Bisaglia, ministro dell'industria, commercio e artigianato per indagare sulle accuse a lui rivolte dal senatore Pisanò","Commissione di indagine Bisaglia - Pisanò",1980-11-20,1980-12-19
"http://dati.senato.it/commissione/0-86","Commissione speciale per i problemi ecologici","Commissione speciale per i problemi ecologici",1971-06-22,1972-05-24
"http://dati.senato.it/commissione/0-86","Commissione speciale per i problemi ecologici","Commissione speciale per i problemi ecologici",1972-07-25,1976-07-04
"http://dati.senato.it/commissione/0-86","Commissione speciale per i problemi ecologici","Commissione speciale per i problemi ecologici",1976-11-16,1979-06-19
"http://dati.senato.it/commissione/0-87","Commissione straordinaria per la verifica dell'andamento generale dei prezzi al consumo e per il controllo della trasparenza dei mercati","Commissione straordinaria per il controllo dei prezzi",2008-12-02,
"http://dati.senato.it/commissione/0-88","Comitato per lo sviluppo della comunicazione radiotelevisiva del Senato","Comitato sviluppo comunicazione",2009-12-26,
"http://dati.senato.it/commissione/0-9","8ª Commissione permanente","Agricoltura e Alimentazione",1948-05-08,1963-05-15
"http://dati.senato.it/commissione/0-9","8ª Commissione permanente","Agricoltura e Foreste",1963-05-16,1971-09-30
"http://dati.senato.it/commissione/0-9","9ª Commissione permanente","Agricoltura",1971-10-01,1987-07-29
"http://dati.senato.it/commissione/0-9","9ª Commissione permanente","Agricoltura e produzione agroalimentare",1987-07-30,2022-10-12
"http://dati.senato.it/commissione/0-90","Commissione speciale per l'esame del disegno di legge: ""Conversione in legge del decreto-legge 19 novembre 1968, n. 1149, recante ulteriori provvedimenti in favore delle zone colpite dalle alluvioni dell'autunno 1968""","Esame ddl di conversione alluvioni autunno 1968",1968-11-16,1969-01-31
"http://dati.senato.it/commissione/0-91","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1968-06-05,1968-06-05
"http://dati.senato.it/commissione/0-92","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria per la verifica dei poteri",1963-05-16,1963-05-16
"http://dati.senato.it/commissione/0-93","Giunta provvisoria per la verifica dei poteri","Giunta provvisoria verifica poteri",1972-05-25,1972-05-25
"http://dati.senato.it/commissione/0-95","Commissione speciale per l'esame del disegno di legge sul Consiglio nazionale dell'economia e del lavoro (318)","Commissione speciale ddl sul CNEL",1949-04-07,1953-06-24
"http://dati.senato.it/commissione/0-96","Commissione speciale per l'esame del disegno di legge: ""Conversione in legge, con approvazione complessiva, dei decreti-legge che a causa degli avvenimenti successivi al 25 luglio 1943 non siano stati convertiti in legge o presentati per la conversione"" (380)","Commissione speciale ddl decreti legge",1949-04-27,1949-05-05
"http://dati.senato.it/commissione/0-97","Commissione speciale per l'esame dei disegni di legge concernenti ratifica di decreti legislativi emanati durante il periodo della Costituente","Commissione speciale ddl ratifica decreti legislativi",1949-10-28,1953-06-24
"http://dati.senato.it/commissione/0-98","Commissione speciale per le locazioni","Commissione speciale ddl locazioni",1949-12-02,1953-06-24
"http://dati.senato.it/commissione/0-99","Commissione speciale per l'esame della proposta di legge sulla ricostituzione della provincia ed ordinamento degli enti locali nella regione sicilliana (857)","Commissione speciale pdl enti locali regione siciliana",1950-03-09,1953-06-24
"http://dati.senato.it/commissione/4-100","Commissione parlamentare per il parere al Governo sui decreti da emanare in esecuzione dei trattati di Lussemburgo del 21 e 22 aprile 1970","Commissione parere trattati di Lussemburgo del 1970",1970-12-23,1983-06-25
"http://dati.senato.it/commissione/4-101","Commissione parlamentare per il parere al Governo sulle norme delegate previste dalla legge istitutiva del servizio sanitario nazionale","Commissione parere servizio sanitario nazionale",1978-12-23,1983-06-25
"http://dati.senato.it/commissione/4-102","Commissione parlamentare per il parere al Governo sulle norme delegate per il riordinamento degli enti pubblici e del rapporto di lavoro del personale dipendente","Commissione parere enti pubblici e personale dipendente",1972-05-24,1979-06-02
"http://dati.senato.it/commissione/4-103","Commissione parlamentare consultiva prevista dall'articolo 3 della legge 20 dicembre 1954, n. 1181, concernente la delega al Governo per l'emanazione delle norme relative al nuovo statuto degli impiegati civili e degli altri dipendenti dello Stato","Commissione consultiva statuto degli impiegati civili",1955-01-18,1958-06-11
"http://dati.senato.it/commissione/4-104","Commissione parlamentare per il parere al Governo sulle norme delegate relative al riordinamento dell'amministrazione dello Stato, al decentramento delle funzioni e al riassetto delle carriere dei dipendenti dello Stato","Commissione parere riordinamento amministrazione Stato",1968-06-05,1976-07-04
"http://dati.senato.it/commissione/4-109","Commissione parlamentare per il parere al governo sulle norme delegate in materia di nuova tariffa generale dei dazi doganali (l. 13/1965)","Consultiva nuova tariffa generale dazi doganali (l. 13/1965)",1965-02-01,1983-07-11
"http://dati.senato.it/commissione/4-110","Commissione parlamentare per il parere al governo sui decreti previsti dalla legge 29 novembre 1977, n,875, relativa al riordinamento delle pensioni di guerra","Commissione parere al Governo riordino pensioni di guerra",1976-07-04,1979-06-19
"http://dati.senato.it/commissione/4-111","Commissione parlamentare per il parere al Governo sulle norme delegate relative ai criteri di assegnazione degli alloggi economici e popolari","Consultiva assegnazione alloggi economici e popolari",1963-11-04,1964-05-23
"http://dati.senato.it/commissione/4-112","Commissione parlamentare per il parere al Governo sull'emanazione di un testo unico delle disposizioni di legge concernenti la disciplina degli interventi nel Mezzogiorno","Consultiva testo unico interventi Mezzogiorno",1965-06-26,1967-06-24
"http://dati.senato.it/commissione/4-113","Commissione parlamentare per il parere al Governo sulle norme delegate relative all'ordinamento dei servizi degli enti ospedalieri e dei servizi di assistenza negli istituti e cliniche universitarie di ricovero e cura e allo stato giuridico dei dipendenti degli enti ospedalieri","Commissione parere ordinamento servizi enti ospedalieri",1968-06-05,1972-05-24
"http://dati.senato.it/commissione/4-114","Commissione parlamentare per il parere al Governo sulle norme delegate relative all'amministrazione e alla contabilità degli enti ospedalieri, prevista dall'art. 55 Legge 12 febbraio 1968, n. 132","Commissione parere amministrazione e contabilita' enti ospedalieri",1968-06-05,1972-05-24
"http://dati.senato.it/commissione/4-115","Commissione parlamentare d'inchiesta su condizioni e livelli dei trattamenti retributivi e normativi","Commissione d'inchiesta  su trattamenti retributivi",1976-02-12,1979-06-19
"http://dati.senato.it/commissione/4-116","Commissione parlamentare per il parere al governo sulle norme delegate nelle materie previste dai trattati della Comunità economica europea e della Comunità europea dell'energia atomica per la durata della terza tappa","Comm.parl.par.gov.norme delegate trattati CEE e CEEA",1968-06-05,1972-05-24
"http://dati.senato.it/commissione/4-117","Commissione parlamentare d'inchiesta sul fenomeno della ""mafia""","Comm. d'inchiesta sul fenomeno della ""mafia""",1962-12-20,1976-07-04
"http://dati.senato.it/commissione/4-118","Commissione di vigilanza sulle condizioni dei detenuti negli stabilimenti carcerari","Comm. vigilanza condizioni detenuti nelle carceri",1949-01-26,1953-06-24
"http://dati.senato.it/commissione/4-119","Commissione parlamentare consultiva per le norme di attuazione della legge 13 maggio 1950, n. 120, sull'ordinamento dell'INADEL","Commissione consultiva ordinamento INADEL",1950-03-13,1953-06-24
"http://dati.senato.it/commissione/4-120","Commissione d'inchiesta sull'attuazione degli interventi per la ricostruzione e la ripresa socio-economica dei territori della valle del Belice colpiti dai terremoti del gennaio 1968","Comm. inchiesta attuazione interventi ricostruzione Belice",1976-07-05,1981-07-31
"http://dati.senato.it/commissione/4-121","Commissione parlamentare consultiva per la disciplina giuridica delle imprese artigiane","Consultiva disciplina giuridica imprese artigiane",1953-06-25,1958-06-11
"http://dati.senato.it/commissione/4-123","Commissione parlamentare per il parere sulla emanazione di norme relative all'assicurazione obbligatoria contro le malattie per gli artigiani","Consultiva assicurazione obbligatoria malattie artigiani",1957-02-26,1958-06-11
"http://dati.senato.it/commissione/4-124","Commissione speciale per l'esame del disegno di legge di conversione del decreto legge recante provvidenze per le popolazioni del Friuli colpite dal terremoto","Commissione speciale terremoto Friuli",1972-05-24,1976-07-04
"http://dati.senato.it/commissione/4-125","Sottocommissione RAI per gli indirizzi","Sottocommissione RAI per gli indirizzi",2001-05-30,
"http://dati.senato.it/commissione/4-126","Sottocommissione RAI per le tribune","Sottocommissione RAI per le tribune",2001-05-30,
"http://dati.senato.it/commissione/4-127","Sottocommissione RAI per la pubblicità","Sottocommissione RAI per la pubblicità",2001-05-30,
"http://dati.senato.it/commissione/4-128","Commissione parlamentare di inchiesta sul ciclo dei rifiuti e sulle attività illecite ad esso connesse","Commissione di inchiesta sul ciclo dei rifiuti",2001-11-23,2006-04-27
"http://dati.senato.it/commissione/4-128","Commissione parlamentare di inchiesta sul ciclo dei rifiuti e sulle attività illecite ad esso connesse","Commissione di inchiesta sul ciclo dei rifiuti",2006-11-18,2008-04-28
"http://dati.senato.it/commissione/4-128","Commissione parlamentare di inchiesta sul ciclo dei rifiuti e sulle attività illecite ad esso connesse","Commissione di inchiesta sul ciclo dei rifiuti",2009-02-06,2013-03-14
"http://dati.senato.it/commissione/4-128","Commissione parlamentare di inchiesta sulle attività illecite connesse al ciclo dei rifiuti e su illeciti ambientali ad esse correlati","Commissione di inchiesta sul ciclo dei rifiuti",2014-01-30,2018-03-22
"http://dati.senato.it/commissione/4-128","Commissione parlamentare di inchiesta sulle attività illecite connesse al ciclo dei rifiuti e su illeciti ambientali ad esse correlati","Commissione di inchiesta sul ciclo dei rifiuti",2018-09-04,2022-10-12
"http://dati.senato.it/commissione/4-128","Commissione parlamentare di inchiesta sulle attività illecite connesse al ciclo dei rifiuti e su altri illeciti ambientali e agroalimentari","Commissione di inchiesta sul ciclo dei rifiuti e illeciti ambientali e agroalimentari",2023-05-19,
"http://dati.senato.it/commissione/4-130","Commissione parlamentare d'inchiesta sull'affare Telekom-Serbia","Commissione d'inchiesta sull'affare Telekom-Serbia",2002-07-03,2004-12-31
"http://dati.senato.it/commissione/4-131","Commissione parlamentare d'inchiesta concernente il ""dossier Mitrokhin"" e l'attività d'intelligence italiana","Commissione inchiesta ""dossier Mitrokhin"" e intelligence italiana",2002-07-04,2006-04-27
"http://dati.senato.it/commissione/4-132","Commissione parlamentare d'inchiesta sulle cause dell'occultamento di fascicoli relativi a crimini nazifascisti","Commissione inchiesta fascicoli crimini nazifascisti",2003-10-08,2006-04-27
"http://dati.senato.it/commissione/4-133","Delegazione parlamentare italiana presso l'Assemblea parlamentare euromediterranea","Delegazione italiana Assemblea parlamentare euromediterranea",2003-12-02,2004-03-22
"http://dati.senato.it/commissione/4-133","Delegazione italiana presso l'Assemblea parlamentare euromediterranea","Delegazione italiana Asssemblea parlamentare euromediterranea",2004-03-23,2010-06-17
"http://dati.senato.it/commissione/4-133","Delegazione parlamentare italiana presso l'Assemblea parlamentare dell'Unione per il Mediterraneo (Ap-UpM)","Delegazione italiana Assemblea Unione per il Mediterraneo (Ap-UpM)",2010-06-18,
"http://dati.senato.it/commissione/4-134","Commissione parlamentare per la semplificazione della legislazione","Commissione per la semplificazione della legislazione",2006-10-25,2008-06-03
"http://dati.senato.it/commissione/4-134","Commissione parlamentare per la semplificazione","Commissione parlamentare per la semplificazione",2008-06-04,
"http://dati.senato.it/commissione/4-135","Commissione parlamentare per il parere al Governo sulle nuove norme in materia di polizia, sicurezza e regolarità dell'esercizio delle Ferrovie e di altri servizi di trasporto","Commissione per il parere al Governo su ferrovie e servizi trasporto",1978-12-06,1983-07-11
"http://dati.senato.it/commissione/4-136","Commissione parlamentare per il parere al Governo sulle norme delegate relative alla ristrutturazione dei servizi di assistenza al volo","Commissione per i servizi di assistenza al volo",1980-05-23,1983-07-11
"http://dati.senato.it/commissione/4-137","Commissione parlamentare d'inchiesta sul caso Sindona e sulle responsabilità politiche ed amministrative ad esso eventualmente connesse","Commissione d'inchiesta sul caso Sindona",1980-09-18,1982-10-30
"http://dati.senato.it/commissione/4-138","Commissione parlamentare d'inchiesta e di studio sulle commesse di armi e mezzi ad uso militare e sugli approvvigionamenti","3^ Commissione d'inchiesta sulle commesse di armi",1982-04-29,1983-06-30
"http://dati.senato.it/commissione/4-139","Commissione parlamentare d'inchiesta e di studio sulle commesse di armi e mezzi ad uso militare e sugli approvvigionamenti","2^ Commissione d'inchiesta sulle commesse di armi",1981-03-05,1982-03-06
"http://dati.senato.it/commissione/4-14","Commissione parlamentare per il parere al governo sulle norme delegate previste dalla legge 23 dicembre 1996, n. 662, concernenti misure di razionalizzazione della finanza pubblica","Commissione per il parere su norme delegate ex legge 662/96",1996-12-28,1997-07-15
"http://dati.senato.it/commissione/4-14","Commissione parlamentare consultiva in materia di riforma fiscale ai sensi della legge 23 dicembre 1996, n. 662","Commissione consultiva in materia di riforma fiscale",1997-07-16,2001-05-29
"http://dati.senato.it/commissione/4-140","Commissione parlamentare dinchiesta e di studio sulle commesse di armi e mezzi ad uso militare e sugli approvvigionamenti","1^ Commissione d'inchiesta sulle commesse di armi",1977-11-17,1979-06-19
"http://dati.senato.it/commissione/4-141","Commissione parlamentare per la localizzazione degli impianti per la produzione di energia elettrica","Commissione localizzazione impianti elettrici",1974-08-12,1979-06-19
"http://dati.senato.it/commissione/4-142","Commissione parlamentare per il parere al Governo per l'emanazione del nuovo testo del codice di procedura penale","Parere al Governo sul nuovo codice di procedura penale",1976-08-04,1979-06-19
"http://dati.senato.it/commissione/4-143","Commissione parlamentare per il parere al Governo sulla convenzione con l'AERITALIA per l'esecuzione di studi, ricerche, progettazione ed avviamento alla produzione di aeromobili per percorsi internazionali","Convenzione AERITALIA aereomobili percorsi internazionali",1978-09-18,1979-06-19
"http://dati.senato.it/commissione/4-144","Commissione parlamentare di vigilanza sul CNEN","Vigilanza CNEN",1976-08-04,1979-06-19
"http://dati.senato.it/commissione/4-145","Commissione parlamentare per il parere al ministro dei trasporti e dell'aviazione civile sugli interventi nel settore aeroportuale","Comm. parere interventi settore aeroportuale",1971-02-25,1976-07-03
"http://dati.senato.it/commissione/4-146","Commissione parlamentare per l'attuazione del federalismo fiscale","Commissione parlamentare per l'attuazione del federalismo fiscale",2010-01-20,
"http://dati.senato.it/commissione/4-147","Commissione parlamentare per il parere al Governo sulle norme delegate in materia di interventi per la salvaguardia di Venezia","Commissione consultiva salvaguardia di Venezia",1973-07-31,1976-07-04
"http://dati.senato.it/commissione/4-148","Commissione parlamentare per il parere al governo sulle norme delegate in materia di edilizia","Commissione sulle norme delegate in materia di edilizia",1972-08-04,1976-07-04
"http://dati.senato.it/commissione/4-149","Commissione parlamentare per il parere al governo sull'aggiornamento del testo unico delle leggi sulla disciplina degli interventi nel mezzogiorno","Commissione per il parere sul testo unico per il mezzogiorno",1972-07-27,1976-07-04
"http://dati.senato.it/commissione/4-150","Commissione parlamentare per il parere al governo in materia di mercato mobiliare e di società per azioni","commissione in materia di mercato mobiliare e spa",1974-07-04,1976-07-04
"http://dati.senato.it/commissione/4-151","Commissione parlamentare per il parere al governo sull'emanazione del nuovo testo del codice di procedura penale","Commissione nuovo testo codice procedura penale",1974-07-29,1976-07-04
"http://dati.senato.it/commissione/4-152","Commissione parlamentare per il parere al governo sui decreti delegati concerneneti il regime fiscale dei prodotti petroliferi e l'imposizione di prelievo tributario una tantum sui veicoli a motore","Commissione consultiva regime fiscale prodotti petroliferi",1974-11-07,1976-07-04
"http://dati.senato.it/commissione/4-153","Commissione parlamentare per il parere al governo sui decreti delegati concernenti norme a favore dei dipendenti dello stato ed enti pubblici ex combattenti ed assimilati","Commissione consultiva norme a favore dei dipendenti stato",1974-11-07,1976-07-04
"http://dati.senato.it/commissione/4-154","Commissione parlamentare di vigilanza sul CNEN","Commissione parlamentare di vigilanza CNEN",1972-08-04,1976-07-04
"http://dati.senato.it/commissione/4-155","Commissione parlamentare per il parere sulla nuova tariffa generale dei dazi doganali","Consultiva nuova tariffa generale dazi doganali (1)",1950-02-02,1964-12-31
"http://dati.senato.it/commissione/4-156","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Ente per la colonizzazione della Maremma Tosco-Laziale e del territorio del Fucino","Commissione riforma fondiaria Maremma e Fucino",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-157","Commissione parlamentare consultiva per l'altopiano della Sila","Commissione consultiva per l'altopiano della Sila",1950-06-09,1951-12-31
"http://dati.senato.it/commissione/4-158","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Sezione speciale per la riforma fondiaria presso l'Ente per lo sviluppo della irrigazione e la trasformazione fondiaria in Puglia e Lucania","Commissione riforma fondiaria Puglia e Lucania",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-159","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Sezione speciale dell'Opera per la valorizzazione della Sila","Commissione riforma fondiaria Sila",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-160","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Ente per la colonizzazione del Delta Padano","Commissione riforma fondiaria Delta Padano",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-161","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Sezione speciale per la riforma fondiaria presso l'Opera Nazionale Combattenti","Commissione riforma fondiaria ONC",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-162","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Sezione speciale per la riforma fondiaria presso l'Ente autonomo del Flumendosa","Commissione riforma fondiaria Flumendosa",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-163","Commissione parlamentare consultiva per gli enti di riforma fondiaria - Ente per la traformazione fondiaria e agraria in Sardegna","Commissione riforma fondiaria Sardegna",1951-05-23,1953-06-24
"http://dati.senato.it/commissione/4-164","Commissione parlamentare consultiva per il testo unico sulla perequazione tributaria","Commissione consultiva perequazione tributaria",1951-02-08,1953-06-24
"http://dati.senato.it/commissione/4-165","Commissione parlamentare per il parere sulla formazione delle tabelle delle circoscrizioni elettorali per le elezioni provinciali","Commissione consultiva circoscrizioni provinciali",1951-01-11,1953-06-24
"http://dati.senato.it/commissione/4-166","Commissione parlamentare consultiva per il testo unico delle disposizioni in materia di tasse sulle concessioni governative","Commissione consultiva concessioni governative",1952-03-04,1953-06-24
"http://dati.senato.it/commissione/4-167","Commissione parlamentare consultiva per il testo unico delle disposizione sulle tasse di circolazione","Commissione consultiva tasse di circolazione",1952-02-09,1953-06-24
"http://dati.senato.it/commissione/4-168","Rappresentanza del Parlamento italiano all'Assemblea della Comunità europea del carbone e dell'acciaio (C.E.C.A.)","Rappresentanza Assemblea CECA",1952-06-25,1968-06-04
"http://dati.senato.it/commissione/4-169","Commissione parlamentare consultiva per l'esame di nuove norme sulle imposte sul bollo e sulla pubblicità","Commissione consultiva imposte bollo e pubblicità",1952-12-27,1953-06-24
"http://dati.senato.it/commissione/4-170","Commissari per la vigilanza sullo svolgimento delle operazioni relative ai censimenti della popolazione e dell'industria e commercio","Commissari vigilanza censimenti",1951-04-02,1953-06-24
"http://dati.senato.it/commissione/4-171","Commissari per lo studio di problemi inerenti al personale statale","Commissari studio personale statale",1948-10-12,1948-12-31
"http://dati.senato.it/commissione/4-172","Commissione consultiva parlamentare per le norme di attuazione della legge 13 marzo 1950, n. 120, concernente norme relative all'ordinamento dell'Istituto nazionale di assistenza per i dipendenti degli enti locali (INADEL)","Commissione consultiva norme attuazione ordinamento INADEL",1953-10-06,1958-06-11
"http://dati.senato.it/commissione/4-173","Commissione parlamentare per il parere sulla emanazione del testo unico delle disposizioni concernenti la disciplina fiscale della lavorazione dei semi oleosi e degli olii da essi ottenuti","Commissione consultiva testo unico semi oleosi",1953-10-26,1958-06-11
"http://dati.senato.it/commissione/4-174","Commissione parlamentare consultiva prevista dalla legge 27 dicembre 1952, n. 3596, concernente la delega al Governo dell'esercizio della funzione legislativa per la emanazione di nuove norme sulle imposte di bollo e sulla pubblicità","Commissione consultiva imposte di bollo e pubblicità",1953-12-18,1958-06-11
"http://dati.senato.it/commissione/4-175","Commissione parlamentare consultiva prevista dall'articolo 2 della legge 11 marzo 1953, n. 150, concernente la delega legislativa al Governo per l'attribuzione  di funzioni statali di interesse esclusivamente locale alle province, ai comuni e ad altri enti locali e per l'attuazione del decentramento amministrativo","Consultiva funzioni statali e decentramento amministrativo",1954-02-26,1958-06-11
"http://dati.senato.it/commissione/4-176","Commissione parlamentare per il parere sulla emanazione di un testo unico sulla riorganizzazione del ministero del lavoro e della previdenza sociale","Consultiva testo unico riorganizzazione ministero lavoro",1954-12-16,1958-06-11
"http://dati.senato.it/commissione/4-177","Commissione parlamentare per il parere sulla modifica alle tasse sui contratti di borsa","Commissione consultiva tasse contratti di borsa",1954-12-16,1958-06-11
"http://dati.senato.it/commissione/4-178","Commissione parlamentare di inchiesta sulle condizioni dei lavoratori in Italia","Commissione d'inchiesta sulle condizioni dei lavoratori",1955-04-19,1958-06-11
"http://dati.senato.it/commissione/4-179","Commissione parlamentare per lo studio della procedura d'esame dei bilanci","Commissione per lo studio procedura d'esame dei bilanci",1955-10-22,1958-06-11
"http://dati.senato.it/commissione/4-180","Commissione parlamentare per il parere sui testi unici in materia di imposte dirette e sulle norme per la riscossione (perequazione tributaria)","Consultiva testi unici imposte dirette e riscossione",1956-02-23,1958-06-11
"http://dati.senato.it/commissione/4-181","Commissione consultiva per l'emanazione di norme relative alle circoscrizioni territoriali e alle piante organiche degli uffici giudiziari","Commissione consultiva uffici giudiziari",1957-02-12,1963-12-31
"http://dati.senato.it/commissione/4-182","Commissione parlamentare consultiva per l'esame dello schema delle norme delegate sulla disciplina della circolazione stradale","Consultiva disciplina circolazione stradale",1958-02-27,1959-06-15
"http://dati.senato.it/commissione/4-183","Membri dell'Assemblea Parlamentare del Consiglio d'Europa","Delegazione italiana presso l'Assemblea Consiglio d'Europa (da eliminare)",1949-07-23,1996-05-08
"http://dati.senato.it/commissione/4-184","Rappresentanza all'Assemblea unica delle Comunità europee","Rappresentanza Assemblea unica delle Comunità europee",1958-02-27,1963-05-15
"http://dati.senato.it/commissione/4-185","Delegazione parlamentare italiana presso l'Assemblea dell'Unione dell'Europa occidentale","Delegazione italiana presso l'Assemblea dell'UEO (da eliminare)",1955-03-16,1996-05-08
"http://dati.senato.it/commissione/4-186","Commissione parlamentare d'inchiesta per esaminare il comportamento degli organi della pubblica amministrazione in ordine alla cosiddetta ""Anonima banchieri""","Commissione di inchiesta cosiddetta ""Anonima banchieri""",1958-10-18,1958-12-17
"http://dati.senato.it/commissione/4-188","Commissione parlamentare d'inchiesta sulla costruzione dell'aeroporto di Fiumicino","Commissione d'inchiesta aeroporto di Fiumicino",1961-05-16,1961-12-23
"http://dati.senato.it/commissione/4-189","Commissione parlamentare consultiva per il parere sulle norme delegate relative alla cessione in proprietà degli alloggi costruiti dallo Stato ovvero con il suo concorso o contributo","Commissione consultiva cessione alloggi dello Stato",1958-07-30,1959-01-17
"http://dati.senato.it/commissione/4-19","Delegazione parlamentare italiana presso l'Assemblea dell'Unione dell'Europa occidentale","Delegazione italiana presso l'Assemblea dell'UEO",1955-03-16,1996-05-08
"http://dati.senato.it/commissione/4-19","Delegazione parlamentare italiana presso l'Assemblea dell'Unione dell'Europa occidentale","Delegazione italiana presso l'Assemblea dell'UEO",1996-05-09,2011-06-30
"http://dati.senato.it/commissione/4-190","Commissione parlamentare consultiva per il parere sulle norme di attuazione della legge 13 marzo 1958, n. 264, relativa alla tutela del lavoro a domicilio","Commissione consultiva tutela lavoro a domicilio",1958-09-18,1959-12-16
"http://dati.senato.it/commissione/4-191","Commissione parlamentare per il parere al Governo sulle direttive e sui criteri di ripartizione degli stanziamenti previsti dalla legge per le iniziative di interesse turistico ed alberghiero","Consultiva attuazione provvidenze turistiche e alberghiere",1962-02-15,1968-06-04
"http://dati.senato.it/commissione/4-192","Commissione parlamentare consultiva prevista dall'articolo unico della legge 6 novembre 1962, n. 1608: ""Delega al Governo per l'emanazione del testo unico sui servizi della riscossione delle imposte dirette""","Consultiva testo unico riscossione imposte dirette",1962-11-06,1963-05-15
"http://dati.senato.it/commissione/4-193","Commissione parlamentare per il parere sulle norme necessarie al riordinamento degli enti e organi turistici nazionali, provinciali e locali","Consultiva riordinamento enti e organi turistici",1959-07-31,1963-05-15
"http://dati.senato.it/commissione/4-194","Commissione parlamentare per i pareri sulle norme di attuazione della legge 27 novembre 1960, n. 1397, relativa all'assicurazione obbligatoria contro le malattie per gli esercenti attività commerciali","Consultiva assicurazione malattie esercenti attività comm.",1960-11-27,1963-05-15
"http://dati.senato.it/commissione/4-195","Commissione parlamentare per il parere sulla emanazione di norme relative alla riforma degli ordinamenti della sperimentazione agraria","Consultiva ordinamenti sperimentazione agraria",1961-06-02,1963-05-15
"http://dati.senato.it/commissione/4-196","Commissione parlamentare per il parere sulle norme di cui agli articoli 31 e 32 della legge 2 giugno 1961, n. 454, concernente il piano quinquennale per lo sviluppo dell'agricoltura","Consultiva piano quinquennale sviluppo agricoltura",1961-06-02,1963-05-15
"http://dati.senato.it/commissione/4-197","Commissione parlamentare per il parere al governo sulle norme delegate relative alla riforma e al miglioramento dei trattamenti di pensione della previdenza sociale","Consultiva riforma trattamenti pensione",1965-07-21,1972-05-24
"http://dati.senato.it/commissione/4-198","Commissione parlamentare per il parere sulle norme delegate in materia di indennizzi a cittadini italiani colpiti da misure di persecuzione nazionalsocialiste","Consultiva indennizzi persecuzioni nazionalsocialiste",1963-05-16,1963-10-06
"http://dati.senato.it/commissione/4-199","Commissione parlamentare per il parere al Governo sulle norme delegate relative al riordinamento del ministero della difesa e degli stati maggiori, nonché per il riordinamento delle carriere e delle categorie e per la revisione degli organici del personale civile","Consultiva riordinamento ministero difesa",1963-05-16,1965-11-18
"http://dati.senato.it/commissione/4-200","Commissione parlamentare per il parere al Governo sulle norme delegate in materia di assicurazione obbligatoria contro gli infortuni sul lavoro e malattie professionali","Consultiva assicurazione obbligatoria",1964-01-30,1965-06-30
"http://dati.senato.it/commissione/4-201","Commissione parlamentare per il parere al Governo sulle norme delegate in materia di repressione delle frodi nella preparazione e commercio dei mosti, vini ed aceti","Consultiva repressione frodi mosti, vini e aceti",1964-10-09,1965-02-12
"http://dati.senato.it/commissione/4-202","Commissione parlamentare per il parere al Governo sulle norme delegate relative ai bilanci degli enti pubblici","Consultiva bilanci enti pubblici",1964-03-01,1965-03-08
"http://dati.senato.it/commissione/4-203","Commissione parlamentare per il parere al Governo sulle norme delegate nelle materie previste dai trattati della Comunità economica europea (CEE) e della Comunità europea dell'energia atomica (CEEA)","Consultiva trattati CEE e CEEA",1965-07-13,1968-06-04
"http://dati.senato.it/commissione/4-204","Commissione parlamentare per il parere al Governo sulle norme delegate relative all'ordinamenteo dell'amministrazione degli affari esteri e in materia consolare","Consultiva amministrazione affari esteri e materia consolare",1965-07-13,1967-01-23
"http://dati.senato.it/commissione/4-205","Commissione parlamentare per il parere al Governo sulle norme delegate per l'attuazione del piano regolatore generale degli acquedotti","Consultiva attuazione piano acquedotti",1963-05-16,1968-06-04
